               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10355,            0.052695,            0.033862,             0.38812,            0.078352,            0.045025,            0.010579,            0.077392,            0.043803,            0.020343,              0.0811,              0.0021,              0.0021
                   1,            0.079576,            0.045182,            0.020286,             0.77134,             0.15256,             0.10406,            0.028378,            0.074754,            0.029762,            0.017854,            0.061286,           0.0042858,           0.0042858
                   2,            0.068693,            0.037256,            0.018948,             0.85519,              0.2135,             0.26801,            0.099579,            0.057516,             0.02712,            0.015695,            0.041457,           0.0064571,           0.0064571
                   3,            0.059626,            0.034032,            0.016588,             0.65295,             0.39768,             0.38572,             0.16845,            0.049781,            0.030592,            0.012239,            0.021614,           0.0086139,           0.0086139
                   4,            0.053787,            0.031069,            0.012005,             0.70887,             0.39321,             0.41883,             0.18236,            0.051206,            0.030506,           0.0093326,            0.009868,            0.009868,            0.009868
                   5,            0.047434,            0.031946,           0.0091007,             0.76546,             0.41023,             0.43573,             0.14705,            0.050975,            0.028065,            0.011058,            0.009868,            0.009868,            0.009868
                   6,            0.041085,            0.028541,           0.0081135,             0.78927,             0.42403,             0.45753,              0.2443,            0.037929,            0.026873,            0.011742,            0.009835,            0.009835,            0.009835
                   7,            0.039661,            0.029888,           0.0073194,             0.87022,             0.51031,             0.59399,              0.3196,            0.035003,            0.021449,           0.0081456,            0.009802,            0.009802,            0.009802
                   8,            0.037447,            0.026999,           0.0063807,             0.88072,             0.52443,             0.60857,             0.32671,            0.033058,             0.02111,           0.0070173,            0.009769,            0.009769,            0.009769
                   9,            0.036792,            0.027313,             0.00608,             0.85702,             0.50633,             0.61692,             0.35018,            0.032653,            0.020136,           0.0069373,            0.009736,            0.009736,            0.009736
                  10,            0.035299,             0.02777,           0.0066859,             0.86321,             0.52423,             0.61936,             0.35666,            0.032052,            0.021182,           0.0077832,            0.009703,            0.009703,            0.009703
                  11,            0.033737,            0.027397,           0.0057298,             0.88264,             0.50621,             0.61928,             0.35918,            0.032401,            0.020499,           0.0068712,             0.00967,             0.00967,             0.00967
                  12,            0.032676,            0.025981,           0.0054646,              0.8196,             0.58577,             0.64348,             0.39529,            0.031394,            0.019612,           0.0068103,            0.009637,            0.009637,            0.009637
                  13,            0.032745,            0.027031,           0.0053323,             0.80103,              0.6029,             0.65688,              0.4152,             0.02936,            0.019188,           0.0064208,            0.009604,            0.009604,            0.009604
                  14,            0.032242,            0.025626,           0.0053833,             0.84673,             0.56362,             0.63179,              0.3883,            0.029416,            0.019788,           0.0065284,            0.009571,            0.009571,            0.009571
                  15,            0.032006,             0.02592,           0.0048369,             0.86963,             0.59085,              0.6721,              0.4123,            0.029958,             0.01933,           0.0061288,            0.009538,            0.009538,            0.009538
                  16,            0.031447,            0.023862,           0.0045583,             0.70715,             0.63236,             0.68477,             0.44183,            0.029735,             0.01987,            0.006437,            0.009505,            0.009505,            0.009505
                  17,            0.030795,            0.025002,           0.0041537,             0.67912,             0.62821,              0.6776,             0.40537,            0.031314,            0.021295,           0.0071784,            0.009472,            0.009472,            0.009472
                  18,            0.029847,            0.023661,           0.0039801,             0.77244,             0.68389,             0.72927,             0.44484,            0.029728,            0.019316,           0.0058344,            0.009439,            0.009439,            0.009439
                  19,            0.029475,            0.023757,           0.0034172,             0.63967,             0.66682,             0.64141,             0.38432,            0.031788,            0.020667,           0.0079457,            0.009406,            0.009406,            0.009406
                  20,            0.030031,            0.024981,           0.0034474,             0.75937,             0.69469,              0.7376,              0.4446,            0.029917,            0.019946,           0.0060743,            0.009373,            0.009373,            0.009373
                  21,            0.029475,            0.024721,           0.0033983,             0.74196,             0.71793,             0.71043,             0.43786,            0.030108,            0.020186,           0.0063259,             0.00934,             0.00934,             0.00934
                  22,            0.028755,             0.02524,           0.0032049,             0.83148,             0.67716,             0.74329,              0.4584,            0.029678,             0.02081,           0.0053653,            0.009307,            0.009307,            0.009307
                  23,            0.029474,            0.024915,           0.0030676,             0.76369,             0.72742,             0.77153,             0.44906,            0.030079,            0.019768,           0.0051247,            0.009274,            0.009274,            0.009274
                  24,            0.028105,            0.024149,           0.0030482,             0.87201,             0.71253,             0.78044,             0.50377,            0.028572,            0.019399,           0.0058891,            0.009241,            0.009241,            0.009241
                  25,             0.02878,            0.024205,           0.0029953,             0.65424,             0.64567,             0.67129,             0.42848,            0.029149,             0.02066,           0.0088274,            0.009208,            0.009208,            0.009208
                  26,            0.028573,            0.022588,           0.0025431,             0.83819,             0.70982,             0.76333,             0.46551,            0.029689,            0.020051,           0.0053707,            0.009175,            0.009175,            0.009175
                  27,            0.028735,            0.025438,           0.0026045,             0.80837,             0.67824,             0.74912,              0.4621,            0.028895,            0.020441,           0.0059133,            0.009142,            0.009142,            0.009142
                  28,            0.028189,            0.023544,           0.0028528,             0.85356,             0.65917,             0.72528,              0.4422,            0.029681,            0.020431,           0.0059239,            0.009109,            0.009109,            0.009109
                  29,             0.02732,            0.023256,           0.0021809,             0.73605,             0.67208,             0.70564,             0.42339,             0.03102,            0.021705,           0.0066239,            0.009076,            0.009076,            0.009076
                  30,            0.027021,            0.023797,           0.0024917,             0.79546,              0.7206,             0.77082,             0.49023,            0.028253,            0.019497,           0.0052802,            0.009043,            0.009043,            0.009043
                  31,            0.027292,            0.022329,           0.0021573,             0.83423,             0.66551,             0.72406,               0.457,            0.029565,            0.019937,           0.0066206,             0.00901,             0.00901,             0.00901
                  32,            0.027314,            0.022829,           0.0021215,             0.83137,             0.72583,             0.74523,             0.46824,            0.029479,            0.019968,           0.0058184,            0.008977,            0.008977,            0.008977
                  33,            0.027171,            0.021622,            0.001925,             0.79528,             0.72167,             0.74261,             0.47421,            0.028113,            0.019917,           0.0063829,            0.008944,            0.008944,            0.008944
                  34,            0.025765,            0.022575,           0.0020402,             0.81149,             0.67604,             0.71972,             0.45151,            0.029127,            0.019832,           0.0077352,            0.008911,            0.008911,            0.008911
                  35,            0.026541,            0.022282,           0.0022734,             0.83737,             0.72403,             0.76482,             0.49484,            0.027732,            0.020312,           0.0062375,            0.008878,            0.008878,            0.008878
                  36,            0.026062,            0.022451,           0.0020468,             0.86283,             0.69478,             0.76118,             0.47511,            0.028694,            0.020231,           0.0057773,            0.008845,            0.008845,            0.008845
